#=== max path ===
#   filename = 'ILSVRC2012_val_00023642.JPEG'
#   class_label = 376
#	[flattened pos]	[shape]	[name]	[value]
#	 376.0 	 torch.Size([1, 1000]) 	 my_Linear 	 1.437835701195711e-11
#	 3232.0 	 torch.Size([1, 4096]) 	 my_ReLU 	 1.437835701195711e-11
#	 3232.0 	 torch.Size([1, 4096]) 	 my_Linear 	 1.1382737113985186e-10
#	 3121.0 	 torch.Size([1, 4096]) 	 my_ReLU 	 1.1382737113985186e-10
#	 3121.0 	 torch.Size([1, 4096]) 	 my_Linear 	 1.8739425566849377e-09
#	 -16091.0 	 torch.Size([1, 512, 7, 7]) 	 my_AvgPool2d 	 -8.432692055748703e-08
#	 -16091.0 	 torch.Size([1, 512, 7, 7]) 	 my_MaxPool2d 	 -8.432692055748703e-08
#	 -64353.0 	 torch.Size([1, 512, 14, 14]) 	 my_ReLU 	 -8.432692055748703e-08
#	 -64353.0 	 torch.Size([1, 512, 14, 14]) 	 my_Conv2d 	 -8.432692055748703e-08
#	 100205.0 	 torch.Size([1, 512, 14, 14]) 	 my_ReLU 	 -8.432692055748703e-08
#	 100205.0 	 torch.Size([1, 512, 14, 14]) 	 my_Conv2d 	 1.0211143717242521e-06
#	 -52565.0 	 torch.Size([1, 512, 14, 14]) 	 my_ReLU 	 1.0211143717242521e-06
#	 -52565.0 	 torch.Size([1, 512, 14, 14]) 	 my_Conv2d 	 -4.083094154339051e-06
#	 -47077.0 	 torch.Size([1, 512, 14, 14]) 	 my_MaxPool2d 	 -1.2913112186652143e-05
#	 -188290.0 	 torch.Size([1, 512, 28, 28]) 	 my_ReLU 	 -1.2913112186652143e-05
#	 -188290.0 	 torch.Size([1, 512, 28, 28]) 	 my_Conv2d 	 -1.2913112186652143e-05
#	 -294913.0 	 torch.Size([1, 512, 28, 28]) 	 my_ReLU 	 -1.2913112186652143e-05
#	 -294913.0 	 torch.Size([1, 512, 28, 28]) 	 my_Conv2d 	 -0.00037735956721007824
#	 -290964.0 	 torch.Size([1, 512, 28, 28]) 	 my_ReLU 	 -0.00037735956721007824
#	 -290964.0 	 torch.Size([1, 512, 28, 28]) 	 my_Conv2d 	 -0.003871000139042735
#	 -94964.0 	 torch.Size([1, 256, 28, 28]) 	 my_MaxPool2d 	 -0.008375664241611958
#	 -379880.0 	 torch.Size([1, 256, 56, 56]) 	 my_ReLU 	 -0.008375664241611958
#	 -379880.0 	 torch.Size([1, 256, 56, 56]) 	 my_Conv2d 	 -0.008375664241611958
#	 -768744.0 	 torch.Size([1, 256, 56, 56]) 	 my_ReLU 	 -0.008375664241611958
#	 -768744.0 	 torch.Size([1, 256, 56, 56]) 	 my_Conv2d 	 -0.013885951600968838
#	 -627624.0 	 torch.Size([1, 256, 56, 56]) 	 my_ReLU 	 -0.013885951600968838
#	 -627624.0 	 torch.Size([1, 256, 56, 56]) 	 my_Conv2d 	 -0.03606143221259117
#	 -226216.0 	 torch.Size([1, 128, 56, 56]) 	 my_MaxPool2d 	 -0.06178987771272659
#	 -904911.0 	 torch.Size([1, 128, 112, 112]) 	 my_ReLU 	 -0.06178987771272659
#	 -904911.0 	 torch.Size([1, 128, 112, 112]) 	 my_Conv2d 	 -0.06178987771272659
#	 -616398.0 	 torch.Size([1, 128, 112, 112]) 	 my_ReLU 	 -0.06178987771272659
#	 -616398.0 	 torch.Size([1, 128, 112, 112]) 	 my_Conv2d 	 -0.1951635479927063
#	 566220.0 	 torch.Size([1, 64, 112, 112]) 	 my_MaxPool2d 	 0.6116346716880798
#	 2264760.0 	 torch.Size([1, 64, 224, 224]) 	 my_ReLU 	 0.6116346716880798
#	 2264760.0 	 torch.Size([1, 64, 224, 224]) 	 my_Conv2d 	 0.6116346716880798
#	 -1712825.0 	 torch.Size([1, 64, 224, 224]) 	 my_ReLU 	 0.6116346716880798
#	 -1712825.0 	 torch.Size([1, 64, 224, 224]) 	 my_Conv2d 	 -1.167447566986084
#	 6840.0 	 torch.Size([1, 3, 224, 224]) 	 Input 	 1.5810428857803345
1.437835701195711e-11 p,376,3232,3232,3121,3121,-16091,-16091,-64353,-64353,100205,100205,-52565,-52565,-47077,-188290,-188290,-294913,-294913,-290964,-290964,-94964,-379880,-379880,-768744,-768744,-627624,-627624,-226216,-904911,-904911,-616398,-616398,566220,2264760,2264760,-1712825,-1712825,6840
6.848623231026085e-12 p,376,2129,2129,2901,2901,12170,12170,48672,48672,-100206,-100206,52564,52564,47076,188289,188289,294912,294912,290963,290963,94963,379879,379879,768743,768743,627623,627623,226215,904910,904910,616397,616397,-453325,-1813178,-1813178,-1712826,-1712826,6841
6.833740170963942e-12 p,376,3883,3883,-299,-299,-16091,-16091,-64353,-64353,100205,100205,-52565,-52565,-47077,-188290,-188290,-294913,-294913,-290964,-290964,-94964,-379880,-379880,-768744,-768744,-627624,-627624,-226216,-904911,-904911,-616398,-616398,566220,2264760,2264760,-1712825,-1712825,6840
6.818795528218402e-12 p,376,351,351,1133,1133,-22699,-22699,-90785,-90785,100205,100205,-52565,-52565,-47077,-188290,-188290,-294913,-294913,-290964,-290964,-94964,-379880,-379880,-768744,-768744,-627624,-627624,-226216,-904911,-904911,-616398,-616398,566220,2264760,2264760,-1712825,-1712825,6840
6.547526409939053e-12 p,376,953,953,1715,1715,24812,24812,99240,99240,-100206,-100206,52564,52564,47076,188289,188289,294912,294912,290963,290963,94963,379879,379879,768743,768743,627623,627623,226215,904910,904910,616397,616397,-453325,-1813178,-1813178,-1712826,-1712826,6841
6.524766837934237e-12 p,376,1736,1736,-1631,-1631,22698,22698,90784,90784,-100206,-100206,52564,52564,47076,188289,188289,294912,294912,290963,290963,94963,379879,379879,768743,768743,627623,627623,226215,904910,904910,616397,616397,-453325,-1813178,-1813178,-1712826,-1712826,6841
6.482617394276691e-12 p,376,2748,2748,-1631,-1631,22698,22698,90784,90784,-100206,-100206,52564,52564,47076,188289,188289,294912,294912,290963,290963,94963,379879,379879,768743,768743,627623,627623,226215,904910,904910,616397,616397,-453325,-1813178,-1813178,-1712826,-1712826,6841
6.41230081185884e-12 p,376,2891,2891,-1631,-1631,22698,22698,90784,90784,-100206,-100206,52564,52564,47076,188289,188289,294912,294912,290963,290963,94963,379879,379879,768743,768743,627623,627623,226215,904910,904910,616397,616397,-453325,-1813178,-1813178,-1712826,-1712826,6841
6.402996188814569e-12 p,376,242,242,-1631,-1631,22698,22698,90784,90784,-100206,-100206,52564,52564,47076,188289,188289,294912,294912,290963,290963,94963,379879,379879,768743,768743,627623,627623,226215,904910,904910,616397,616397,-453325,-1813178,-1813178,-1712826,-1712826,6841
6.397861407325678e-12 p,376,687,687,298,298,16090,16090,64352,64352,-100206,-100206,52564,52564,47076,188289,188289,294912,294912,290963,290963,94963,379879,379879,768743,768743,627623,627623,226215,904910,904910,616397,616397,-453325,-1813178,-1813178,-1712826,-1712826,6841
6.083732909806239e-12 p,376,1794,1794,2518,2518,24812,24812,99240,99240,-100206,-100206,52564,52564,47076,188289,188289,294912,294912,290963,290963,94963,379879,379879,768743,768743,627623,627623,226215,904910,904910,616397,616397,-453325,-1813178,-1813178,-1712826,-1712826,6841
5.953023664295731e-12 p,376,2743,2743,3121,3121,-16091,-16091,-64353,-64353,100205,100205,-52565,-52565,-47077,-188290,-188290,-294913,-294913,-290964,-290964,-94964,-379880,-379880,-768744,-768744,-627624,-627624,-226216,-904911,-904911,-616398,-616398,566220,2264760,2264760,-1712825,-1712825,6840
5.8328862573286955e-12 p,376,408,408,3632,3632,16034,16034,64128,64128,-100206,-100206,52564,52564,47076,188289,188289,294912,294912,290963,290963,94963,379879,379879,768743,768743,627623,627623,226215,904910,904910,616397,616397,-453325,-1813178,-1813178,-1712826,-1712826,6841
5.730147259463969e-12 p,376,2328,2328,-1631,-1631,22698,22698,90784,90784,-100206,-100206,52564,52564,47076,188289,188289,294912,294912,290963,290963,94963,379879,379879,768743,768743,627623,627623,226215,904910,904910,616397,616397,-453325,-1813178,-1813178,-1712826,-1712826,6841
